barcode,name,price,size,imgUrl,categoryId
1387400445335,Šampon Breza,499.99,500 ml,SamponBreza500ml.jpg,4
5768929910367,Šampon Breza,999.99,1 L,SamponBreza1L.jpg,4
3059070325586,Šampon Jabuka,499.99,500 ml,SamponJabuka500ml.jpg,4
4941301685634,Šampon Jabuka,999.99,1 L,SamponJabuka1L.jpg,4
4052033985824,Šampon Kamilica,499.99,500 ml,SamponKamilica500ml.jpg,4
8917895304124,Šampon Kamilica,999.99,1 L,SamponKamilica1L.jpg,4
5255966026897,Šampon Kopriva,499.99,500 ml,SamponKopriva500ml.jpg,4
4867882504090,Šampon Kopriva,999.99,1 L,SamponKopriva1L.jpg,4
3777597436967,Regenerator,499.99,500 ml,regenerator_500ml.jpg,4
6278749910101,Regenerator,999.99,1000 ml,regenerator_1000ml.jpg,4
5720705293475,Kana za kosu,49.99,50 g,kana_50g.jpg,4
0069809323943,Kana za kosu,99.99,100 g,kana_100g.jpg,4
2044997517855,Ulje za kosu orah,89.99,90 ml,UljeZaKosuOrah.jpg,4
2646635788217,Ulje za kosu čičak,89.99,90 ml,UljeZaKosuCicak.jpg,4
4226856025953,Ulje za kosu kokos,89.99,90 ml,UljeZaKosuKokos.jpg,4
3832333791243,Millenium krema za brijanje,74.99,75 ml,MilleniumKremaZaBrijanje.jpg,5
2223188949328,Losion posle brijanja Millenium,124.99,125 ml,LosionMillenium.jpg,5
9349300383893,Losion posle brijanja Aquarius,124.99,125 ml,LosionAquarius.jpg,5
4261441748670,Muški dezodorans Millenium,149.99,150 ml,DezodoransMillenium.jpg,5
8116244515502,Muški dezodorans Aquarius,149.99,150 ml,DezodoransAquarius.jpg,5
4907935490966,Antibakterijski gel,499.99,500 ml,AntibakterijskiGel500.jpg,6
5258254672981,Tečni sapun breskva,499.99,500 ml,TecniSapunBreskva.jpg,7
8056596949893,Tečni sapun breskva,999.99,1 L,TecniSapunBreskva.jpg,7
2840506156291,Tečni sapun breskva,4999.99,5 L,TecniSapunBreskva.jpg,7
8026014130988,Tečni sapun jabuka,499.99,500 ml,TecniSapunJabuka.jpg,7
1750959604627,Tečni sapun jabuka,999.99,1 L,TecniSapunJabuka.jpg,7
4301702039460,Tečni sapun jabuka,4999.99,5 L,TecniSapunJabuka.jpg,7
7940465543318,Tečni sapun cvetni,499.99,500 ml,TecniSapunCvetni.jpg,7
1639852378884,Tečni sapun cvetni,999.99,1 L,TecniSapunCvetni.jpg,7
6267830469529,Tečni sapun cvetni,4999.99,5 L,TecniSapunCvetni.jpg,7
7424433087278,Destilovana voda,999.99,1 L,DestilovanaVoda1.jpg,8
5382376304808,Destilovana voda,1999.99,2 L,DestilovanaVoda2.jpg,8
8162763719095,Destilovana voda,4999.99,5 L,DestilovanaVoda5.jpg,8
